### GO-terms (molecular_function)
GO:0016740	GO:0005488	GO:0005198	GO:0003824	GO:0003676	GO:0016787	GO:0000166	GO:0003723	GO:0005515	GO:0008289	GO:0003677
### GO-names (molecular_function)
transferase activity	binding	structural molecule activity	catalytic activity	nucleic acid binding	hydrolase activity	nucleotide binding	RNA binding	protein binding	lipid binding	DNA binding
### GO-terms (biological_process)
GO:0007049	GO:0019538	GO:0008152	GO:0009628	GO:0009416	GO:0009987	GO:0006412	GO:0009058	GO:0015979
### GO-names (biological_process)
cell cycle	protein metabolic process	metabolic process	response to abiotic stimulus	response to light stimulus	cellular process	translation	biosynthetic process	photosynthesis
### GO-terms (cellular_component)
GO:0016020	GO:0009579	GO:0005829	GO:0009536	GO:0005634	GO:0005886	GO:0009507	GO:0005783	GO:0005622	GO:0005739	GO:0005730	GO:0005576	GO:0005737	GO:0005654	GO:0005840	GO:0005856
### GO-names (cellular_component)
membrane	thylakoid	cytosol	plastid	nucleus	plasma membrane	chloroplast	endoplasmic reticulum	intracellular anatomical structure	mitochondrion	nucleolus	extracellular region	cytoplasm	nucleoplasm	ribosome	cytoskeleton
### PDB-chain	GO-terms (molecular_function)	GO-terms (biological_process)	GO-terms (cellular_component)
5A9Q-6	GO:0005515,GO:0005488,GO:0005198		GO:0016020,GO:0005829,GO:0005783,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6IJJ-1		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7EU3-4			GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7LBM-3	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
8AW3-2	GO:0003824,GO:0005515,GO:0016787,GO:0005488		
7Y3F-5		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
6CP5-7			GO:0005737,GO:0016020,GO:0005739,GO:0005622
4CE4-6		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7F9O-4			GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737
3J6X-56	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
7D80-5	GO:0005515,GO:0005488	GO:0007049,GO:0009987	GO:0005829,GO:0005737,GO:0016020,GO:0005622
6RAW-5	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987,GO:0008152	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
5A9Q-9	GO:0005515,GO:0005488	GO:0007049,GO:0009987	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6KAD-6		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
5LZA-6	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
3EXG-1	GO:0005515,GO:0005488	GO:0008152	GO:0016020,GO:0005634,GO:0005622,GO:0005739,GO:0005730,GO:0005737
7ENA-4	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005654,GO:0005622
6Y53-7	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005634,GO:0016020,GO:0005654,GO:0005622
4UER-9		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8S9S-6	GO:0005515,GO:0005488		GO:0005783,GO:0016020,GO:0005737,GO:0005622
8FN4-5	GO:0003676,GO:0005488,GO:0003723		GO:0005737,GO:0016020,GO:0005739,GO:0005622
2J37-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6WM2-9	GO:0005515,GO:0005488		GO:0005886,GO:0016020
3J6X-58	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
7UNF-2	GO:0005515,GO:0005488		GO:0005886,GO:0016020
6W2S-6	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005634,GO:0016020,GO:0005622
3J6X-26	GO:0005515,GO:0005488	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
8FR8-6		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3CW1-5	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
1G6Q-1	GO:0003824,GO:0005515,GO:0016740,GO:0005488		GO:0005634,GO:0016020,GO:0005622
7TKO-9	GO:0005488,GO:0008289		GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737
6M62-5	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005730,GO:0005622
7MSC-8	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005886,GO:0005622,GO:0005737,GO:0005840
5L4G-8	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005576,GO:0005737,GO:0005654
6IJO-8		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7XSD-2		GO:0009987,GO:0008152,GO:0015979	GO:0005737,GO:0005622
4C2M-4	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005730,GO:0005622
6O9L-9	GO:0005515,GO:0005488	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005654,GO:0005622
3J6X-65	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6LSR-1	GO:0003824,GO:0005488,GO:0016787,GO:0000166		GO:0016020,GO:0005829,GO:0005783,GO:0005634,GO:0005622,GO:0005737,GO:0005654
7Y5E-73		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
3J6X-13		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005840
5WVI-1	GO:0003824,GO:0016787		GO:0005737,GO:0005634,GO:0016020,GO:0005622
5GJR-4	GO:0005515,GO:0005488,GO:0005198		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005576,GO:0005737,GO:0005654
5MLC-9		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6YWX-44			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6EM1-5	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005730,GO:0005622
4WQ1-49	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6U42-4	GO:0003824,GO:0005488,GO:0016787,GO:0000166		GO:0005737,GO:0005856,GO:0005622
6RW4-2	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005739,GO:0005737,GO:0005654,GO:0005840
5ZJI-2		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
1K73-4	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6I9R-9	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0007049,GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
4C2M-2	GO:0016740,GO:0005488,GO:0003824,GO:0003676,GO:0003677		GO:0005634,GO:0016020,GO:0005730,GO:0005622
2GO5-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6VBU-5			GO:0016020,GO:0005886,GO:0005622,GO:0005737,GO:0005856
5GAN-3	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737
6YWS-9			GO:0005737,GO:0016020,GO:0005739,GO:0005622
8IYJ-1			GO:0005737,GO:0005856,GO:0005622
7NHN-8		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8GWA-2		GO:0009987,GO:0008152,GO:0015979	
6V39-2		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
4WQR-35	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
1PMA-2	GO:0003824,GO:0016787		GO:0005737,GO:0005622
6ZVK-52		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7AS4-5	GO:0005515,GO:0005488		GO:0005829,GO:0005737,GO:0005856,GO:0005622
7UNG-1	GO:0005515,GO:0005488		GO:0005737,GO:0005856,GO:0005622
5KPS-20	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
7YCX-4	GO:0003676,GO:0003677,GO:0005488		GO:0005634,GO:0016020,GO:0005622
7EMF-1	GO:0005515,GO:0005488		GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654,GO:0005856
6YBT-2	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005622
7ENA-6	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677		GO:0005634,GO:0016020,GO:0005654,GO:0005622
7NHK-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8IAH-7	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005886,GO:0005622,GO:0005737
4UER-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6YW5-11			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
